Date	Value
Mar 31, 2023	177.07
Feb 28, 2023	176.84
Jan 31, 2023	177.00
Dec 31, 2022	177.59
Nov 30, 2022	181.94
Oct 31, 2022	186.64
Sep 30, 2022	192.31
Aug 31, 2022	194.50
Jul 31, 2022	196.21
Jun 30, 2022	197.97
May 31, 2022	202.65
Apr 30, 2022	206.88
Mar 31, 2022	210.03
Feb 28, 2022	212.82
Jan 31, 2022	214.75
Dec 31, 2021	216.54
Nov 30, 2021	208.97
Oct 31, 2021	201.73
Sep 30, 2021	195.06
Aug 31, 2021	189.41
Jul 31, 2021	183.62
Jun 30, 2021	178.28
May 31, 2021	168.39
Apr 30, 2021	158.11
Mar 31, 2021	147.67
Feb 28, 2021	135.54
Jan 31, 2021	123.04
Dec 31, 2020	110.26
Nov 30, 2020	111.96
Oct 31, 2020	113.49
Sep 30, 2020	115.14
Aug 31, 2020	115.69
Jul 31, 2020	116.45
Jun 30, 2020	117.44
May 31, 2020	124.87
Apr 30, 2020	131.65
Mar 31, 2020	137.51
Feb 29, 2020	146.31
Jan 31, 2020	155.83
Dec 31, 2019	165.59
Nov 30, 2019	162.85
Oct 31, 2019	160.16
Sep 30, 2019	157.93
Aug 31, 2019	158.99
Jul 31, 2019	159.92
Jun 30, 2019	161.13
May 31, 2019	160.81
Apr 30, 2019	160.80
Mar 31, 2019	161.30
Feb 28, 2019	161.41
Jan 31, 2019	161.28
Dec 31, 2018	160.78
Nov 30, 2018	159.46
Oct 31, 2018	158.12
Sep 30, 2018	157.60
Aug 31, 2018	154.59
Jul 31, 2018	151.48
Jun 30, 2018	148.30
May 31, 2018	145.69
Apr 30, 2018	143.44
Mar 31, 2018	141.14
Feb 28, 2018	139.19
Jan 31, 2018	137.54
Dec 31, 2017	135.99
Nov 30, 2017	134.76
Oct 31, 2017	133.61
Sep 30, 2017	132.37
Aug 31, 2017	131.80
Jul 31, 2017	130.93
Jun 30, 2017	129.56
May 31, 2017	128.13
Apr 30, 2017	126.69
Mar 31, 2017	125.51
Feb 28, 2017	123.22
Jan 31, 2017	121.20
Dec 31, 2016	119.49
Nov 30, 2016	117.23
Oct 31, 2016	114.75
Sep 30, 2016	112.59
Aug 31, 2016	111.94
Jul 31, 2016	111.13
Jun 30, 2016	110.03
May 31, 2016	110.19
Apr 30, 2016	110.43
Mar 31, 2016	110.75
Feb 29, 2016	111.27
Jan 31, 2016	111.40
Dec 31, 2015	111.62
Nov 30, 2015	113.01
Oct 31, 2015	114.54
Sep 30, 2015	116.25
Aug 31, 2015	117.88
Jul 31, 2015	119.53
Jun 30, 2015	121.35
May 31, 2015	123.63
Apr 30, 2015	126.12
Mar 31, 2015	128.25
Feb 28, 2015	130.34
Jan 31, 2015	132.24
Dec 31, 2014	132.94
Nov 30, 2014	133.76
Oct 31, 2014	134.60
Sep 30, 2014	135.82
Aug 31, 2014	134.71
Jul 31, 2014	133.27
Jun 30, 2014	132.01
May 31, 2014	131.28
Apr 30, 2014	130.77
Mar 31, 2014	130.22
Feb 28, 2014	130.78
Jan 31, 2014	130.98
Dec 31, 2013	131.18
Nov 30, 2013	128.63
Oct 31, 2013	125.83
Sep 30, 2013	122.97
Aug 31, 2013	121.63
Jul 31, 2013	120.28
Jun 30, 2013	118.84
May 31, 2013	117.71
Apr 30, 2013	116.49
Mar 31, 2013	114.95
Feb 28, 2013	114.73
Jan 31, 2013	115.15
Dec 31, 2012	114.96
Nov 30, 2012	114.65
Oct 31, 2012	114.10
Sep 30, 2012	114.05
Aug 31, 2012	115.19
Jul 31, 2012	116.46
Jun 30, 2012	116.90
May 31, 2012	117.00
Apr 30, 2012	117.14
Mar 31, 2012	117.77
Feb 29, 2012	117.95
Jan 31, 2012	117.75
Dec 31, 2011	117.56
Nov 30, 2011	117.28
Oct 31, 2011	117.19
Sep 30, 2011	116.97
Aug 31, 2011	115.75
Jul 31, 2011	114.67
Jun 30, 2011	113.37
May 31, 2011	112.09
Apr 30, 2011	111.46
Mar 31, 2011	111.02
Feb 28, 2011	110.28
Jan 31, 2011	108.99
Dec 31, 2010	107.68
Nov 30, 2010	105.31
Oct 31, 2010	102.80
Sep 30, 2010	100.37
Aug 31, 2010	98.21
Jul 31, 2010	96.13
Jun 30, 2010	93.93
May 31, 2010	90.96
Apr 30, 2010	88.15
Mar 31, 2010	85.42
Feb 28, 2010	81.10
Jan 31, 2010	76.44
Dec 31, 2009	72.01
Nov 30, 2009	53.82
Oct 31, 2009	35.78
Sep 30, 2009	17.72
Aug 31, 2009	15.36
Jul 31, 2009	13.02
Jun 30, 2009	10.62
